ticker,full_first_date,full_last_date,analysis_first_date,analysis_last_date,total_records,expected_records,missing_records,gap_percentage,sample_gaps
AN,2008-01-01,2024-12-01,2014-01-01,2024-12-01,72,132,60,45.45454545454545,"2015-01, 2015-02, 2015-03, 2015-04, 2015-05, 2015-06, 2015-07, 2015-08, 2015-09, 2015-10"
PTC,2013-01-01,2024-12-01,2014-01-01,2024-12-01,84,132,48,36.36363636363637,"2018-01, 2018-02, 2018-03, 2018-04, 2018-05, 2018-06, 2018-07, 2018-08, 2018-09, 2018-10"
AAP,2008-01-01,2023-12-01,2014-01-01,2023-12-01,96,120,24,20.0,"2015-01, 2015-02, 2015-03, 2015-04, 2015-05, 2015-06, 2015-07, 2015-08, 2015-09, 2015-10"
K,2006-01-01,2023-12-01,2014-01-01,2023-12-01,96,120,24,20.0,"2015-01, 2015-02, 2015-03, 2015-04, 2015-05, 2015-06, 2015-07, 2015-08, 2015-09, 2015-10"
SMCI,2017-01-01,2024-12-01,2017-01-01,2024-12-01,78,96,18,18.75,"2018-08, 2018-09, 2018-10, 2018-11, 2018-12, 2019-01, 2019-02, 2019-03, 2019-04, 2019-05"
AVY,2008-01-01,2024-12-01,2014-01-01,2024-12-01,108,132,24,18.181818181818183,"2015-01, 2015-02, 2015-03, 2015-04, 2015-05, 2015-06, 2015-07, 2015-08, 2015-09, 2015-10"
HBI,2008-01-01,2024-12-01,2014-01-01,2024-12-01,108,132,24,18.181818181818183,"2015-01, 2015-02, 2015-03, 2015-04, 2015-05, 2015-06, 2015-07, 2015-08, 2015-09, 2015-10"
JNJ,2006-01-01,2024-12-01,2014-01-01,2024-12-01,108,132,24,18.181818181818183,"2016-01, 2016-02, 2016-03, 2016-04, 2016-05, 2016-06, 2016-07, 2016-08, 2016-09, 2016-10"
LDOS,2009-01-01,2024-12-01,2014-01-01,2024-12-01,108,132,24,18.181818181818183,"2016-01, 2016-02, 2016-03, 2016-04, 2016-05, 2016-06, 2016-07, 2016-08, 2016-09, 2016-10"
RVTY,2007-01-01,2024-12-01,2014-01-01,2024-12-01,108,132,24,18.181818181818183,"2016-01, 2016-02, 2016-03, 2016-04, 2016-05, 2016-06, 2016-07, 2016-08, 2016-09, 2016-10"
SNA,2006-01-01,2024-12-01,2014-01-01,2024-12-01,108,132,24,18.181818181818183,"2015-01, 2015-02, 2015-03, 2015-04, 2015-05, 2015-06, 2015-07, 2015-08, 2015-09, 2015-10"
SWK,2010-01-01,2024-12-01,2014-01-01,2024-12-01,108,132,24,18.181818181818183,"2015-01, 2015-02, 2015-03, 2015-04, 2015-05, 2015-06, 2015-07, 2015-08, 2015-09, 2015-10"
TXT,2006-01-01,2024-12-01,2014-01-01,2024-12-01,108,132,24,18.181818181818183,"2015-01, 2015-02, 2015-03, 2015-04, 2015-05, 2015-06, 2015-07, 2015-08, 2015-09, 2015-10"
ILMN,2018-01-01,2024-12-01,2018-01-01,2024-12-01,72,84,12,14.285714285714285,"2021-01, 2021-02, 2021-03, 2021-04, 2021-05, 2021-06, 2021-07, 2021-08, 2021-09, 2021-10"
CDNS,2017-01-01,2024-12-01,2017-01-01,2024-12-01,84,96,12,12.5,"2021-01, 2021-02, 2021-03, 2021-04, 2021-05, 2021-06, 2021-07, 2021-08, 2021-09, 2021-10"
DPZ,2017-01-01,2024-12-01,2017-01-01,2024-12-01,84,96,12,12.5,"2021-01, 2021-02, 2021-03, 2021-04, 2021-05, 2021-06, 2021-07, 2021-08, 2021-09, 2021-10"
TDY,2017-01-01,2024-12-01,2017-01-01,2024-12-01,84,96,12,12.5,"2021-01, 2021-02, 2021-03, 2021-04, 2021-05, 2021-06, 2021-07, 2021-08, 2021-09, 2021-10"
UAA,2016-05-01,2024-12-01,2016-05-01,2024-12-01,92,104,12,11.538461538461538,"2023-01, 2023-02, 2023-03, 2023-04, 2023-05, 2023-06, 2023-07, 2023-08, 2023-09, 2023-10"
